Province/State,Country/Region,1/21/20 22:00,1/22/20 12:00,1/23/20 12:00,1/24/20 0:00,1/24/20 12:00,1/25/20 0:00,1/25/20 12:00,1/25/20 22:00,1/26/20 11:00,1/26/20 23:00,1/27/20 9:00,1/27/20 19:00,1/27/20 20:30,1/28/20 13:00,1/28/20 18:00,1/28/20 23:00,1/29/20 13:30,1/29/20 14:30,1/29/20 21:00,1/30/20 11:00,1/31/20 14:00,2/1/20 10:00,2/2/20 21:00,2/3/20 21:00,2/4/20 9:40,2/4/20 22:00,2/5/20 9:00,2/5/20 23:00,2/6/20 9:00,2/6/20 14:20,2/7/20 20:13,2/7/20 22:50,2/8/20 10:24,2/8/20 23:04,2/9/20 10:30,2/9/20 23:20,2/10/20 10:30,2/10/20 19:30
Shanghai,Mainland China,,,,,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,9.0,10.0,10.0,10.0,10.0,12.0,15.0,25.0,25.0,25.0,30.0,3.0,41,41,44,44,48,48
Shanxi,Mainland China,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,4.0,4.0,6.0,8.0,12.0,15.0,15.0,20,21,22,25,25,25
Sichuan,Mainland China,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,3.0,12.0,14.0,14.0,23.0,24.0,27.0,31.0,31.0,42.0,5.0,60,60,71,76,80,80
Tianjin,Mainland China,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4,4,4,4,8,8
Tibet,Mainland China,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0,0,0,0,0,0
Xinjiang,Mainland China,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0,0,0,0,0,0
Yunnan,Mainland China,,,,,,,,,,,,,,,,,,,,,1.0,2.0,3.0,5.0,5.0,5.0,5.0,5.0,7.0,7.0,12.0,12.0,17,17,18,18,19,19
Zhejiang,Mainland China,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,14.0,21.0,36.0,43.0,48.0,63.0,78.0,81.0,94.0,94.0,123.0,127.0,175,185,201,201,242,242
Hong Kong,Hong Kong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
Macau,Macau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1,1,1,1,1,1
Taiwan,Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1,1,1,1,1,1
"Seattle, WA",US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,1,1
"Chicago, IL",US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,2,2
"Tempe, AZ",US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
,Japan,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,4,4
,Thailand,,,,,,,,,2.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10,10,10,10,10,10
,South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1,3,3,3,3,3
,Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2
,Vietnam,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1
,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
,Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
,Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1,1,1,1,1,1
"Toronto, ON",Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
British Columbia,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"Orange, CA",US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"Los Angeles, CA",US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
New South Wales,Australia,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,2,2,2,2
Victoria,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
Queensland,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
,Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1,1,1,1,1,1
,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
,Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
,United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
,Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"London, ON",Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
,Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"Santa Clara, CA",US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
South Australia,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"Boston, MA",US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"San Benito, CA",US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"Madison, WI",US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
Diamond Princess cruise ship,Others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
